branch_name,address,map_link
CO.OPMART AN NHƠN,Tttm Hoàng Vũ Plaza – Quốc Lộ 1A – Tx. An Nhơn – Tỉnh Bình Định,https://maps.app.goo.gl/QoLwvA3ytDkgJjYy8
CO.OPMART CAM RANH,02 Đại Lộ Hùng Vương – Phường Cam Lộc - Tx. Cam Ranh - Tỉnh Khánh Hòa,https://maps.app.goo.gl/6PvBFEAKYMTSUFEC9
CO.OPMART  ĐÀ NẴNG,478 Điện Biên Phủ - Quận Thanh Khê - Thành Phố Đà Nẵng,https://maps.app.goo.gl/tNPix6tcuFYkWsi16
CO.OPMART ĐỨC PHỔ,"Đường Nguyễn Nghiêm, Thôn Vĩnh Bình, Xã Phổ Ninh, Huyện Đức Phổ, Tỉnh Quảng Ngãi",https://maps.app.goo.gl/6n5uBDoRNRcyVw7X8
CO.OPMART HUẾ,Tttm Trường Tiền Plaza - Số 6 Trần Hưng Đạo - Tp. Huế - Tỉnh Thừa Thiên Huế,https://maps.app.goo.gl/cvyHpa2b1WWH4NyQ7
CO.OPMART NHA TRANG,02 Lê Hồng Phong - Phường Phước Hải – Tp. Nha Trang – Tỉnh Khánh Hòa,https://maps.app.goo.gl/CdxA8weLGErEh33T8
CO.OPMART  QUẢNG BÌNH,"Số 7 Đường  23-8, Phường Đồng Phú, Tp Đồng Hới, Tỉnh Quảng Bình",https://maps.app.goo.gl/H1qUf3oTgnCE8yES7
CO.OPMART QUẢNG NGÃI,Hẻm 242 Nguyễn Nghiêm - Tổ 6 - Phường Nguyễn Nghiêm - Tp. Quảng Ngãi,https://maps.app.goo.gl/H2xL69FGr3TUsffW8
CO.OPMART  QUẢNG TRỊ,02 Trần Hưng Đạo - Phường 1 - Thành Phố Đông Hà - Tỉnh Quảng Trị,https://maps.app.goo.gl/QeHzKwoq527kqMhv7
CO.OPMART QUY NHƠN,07 Lê Duẩn - Thành Phố Quy Nhơn - Tỉnh Bình Định,https://maps.app.goo.gl/7G9tDC5tmpVhwpKNA
CO.OPMART SƠN TRÀ,"Lô C2, Khu Công Nghiệp Dịch Vụ Thủy Sản Đà Nẵng, Đường Bình Than, Phường Nại Hiên Đông, Quận Sơn Trà, Tp Đà Nẵng",https://maps.app.goo.gl/wDPfUZcQRRHhXFje9
CO.OPMART TAM KỲ,07 Phan Chu Trinh - Thành Phố Tam Kỳ - Tỉnh  Quảng Nam,https://maps.app.goo.gl/8Cg5MjCboc6zbvGw7
CO.OPMART  PHAN RANG,Tttm Chợ Thanh Hà – Đường Trần  Phu  -  Phường Phủ  Hà  - Tp.  Phan  Rang  - Tháp  Chàm  - Tỉnh  Ninh  Thuận,https://maps.app.goo.gl/iTmUTJbNpar6GVif6
CO.OPMART  TUY HÒA,Ô Phố 8B - Khu Dân Dụng Duy Tân - Phường 4 - Tp. Tuy Hòa – Tỉnh Phú Yên,https://maps.app.goo.gl/Uw7S6awFfCX9zTM89
CO.OPMART BẢO LỘC,Tháp Nước - Đường Trần Phú - Phường 2 – Tp. Bảo Lộc - Tỉnh Lâm Đồng,https://maps.app.goo.gl/uNQC3UkzXvrKxuMs8
CO.OPMART BUÔN HỒ,"464 Hùng Vương, Phường An Bình, Thị Xã Buôn Hồ, Tỉnh Đắk Lắk",https://maps.app.goo.gl/S7ZiKceB4gTfuKBh9
CO.OPMART  BUÔN MA THUỘT,71 Nguyễn Tất Thành - Phường Tân An - Tp. Buôn Ma Thuột - Tỉnh Đắk Lắk,https://maps.app.goo.gl/HXaQb6Sbd145Nuvb7
CO.OPMART CHƯ SÊ,"912, Hùng Vương, Tdp4, Tt Chư Sê, Huyện Chư Sê, Tỉnh Gia Lai",https://maps.app.goo.gl/k7Js9JzuD8CZWdGU9
CO.OPMART CƯMGAR,"Thửa Đất 11, Tờ Bản Đồ Số 31, Tổ Dân Phố 2 Đường Hùng Vương, Thị Trấn Quảng Phú, Huyện Cư M'Gar, Tỉnh Đắk Lắk",https://maps.app.goo.gl/Nn7ai8JxA9Ygjvq77
CO.OPMART ĐAKNONG,Đường Huỳnh Thúc Kháng – Tổ Dân Phố 1 – Phường Nghĩa Thành – Tp. Gia Nghĩa – T. Đắk Nông,https://maps.app.goo.gl/29xJ3EaseZ1mLWBt7
CO.OPMART KON TUM,"205 B Lê Hồng Phong, P.Quyết Thắng, Tp Kon Tum, Tỉnh Kon Tum",https://maps.app.goo.gl/LTs2CsKE7v1d6EkFA
CO.OPMART  PLEIKU,21 Cách Mạng Tháng 8 - Phường Hoa Lư - Thành Phố Pleiku - Tỉnh Gia Lai,https://maps.app.goo.gl/Wvrb37FtXdme8wYR9
